course_id,course_title,url,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,published_timestamp,subject
970600,REST APIs with Flask and Python,https://www.udemy.com/rest-api-flask-and-python/,True,110,5151,737,115,Intermediate Level,12.5,2016-11-06T19:00:38Z,Web Development
80940,Build Websites from Scratch with HTML & CSS,https://www.udemy.com/build-website-scratch/,True,145,51257,1955,77,Beginner Level,8.0,2013-09-25T15:59:09Z,Web Development
791414,JavaScript programming: JavaScript for beginners,https://www.udemy.com/learn-javascript-online/,True,55,2215,223,74,Beginner Level,5.0,2016-04-13T18:10:18Z,Web Development
572268,AngularJS For .Net Developers From Scratch,https://www.udemy.com/angularjs-for-dotnet-developers-from-scratch/,True,50,2494,303,40,Intermediate Level,4.5,2016-03-09T20:03:42Z,Web Development
704582,"Jekyll: make fast, secure static sites and blogs with Jekyll",https://www.udemy.com/static-website-generator-fast-secure-sites-blogs-with-jekyll/,True,45,2091,86,29,Beginner Level,2.5,2016-02-18T17:30:13Z,Web Development
981600,HTML and CSS BootCamp for Beginners,https://www.udemy.com/html-and-css-bootcamp-for-beginners/,True,30,1777,35,48,Beginner Level,6.5,2017-01-20T22:20:41Z,Web Development
1204590,Angular Advanced MasterClass & FREE E-Book,https://www.udemy.com/angular-advanced-masterclass/,True,150,228,9,72,Intermediate Level,6.5,2017-07-03T21:59:45Z,Web Development
895040,Build WordPress Plugin to extend Beaver Builder,https://www.udemy.com/build-wordpress-plugin-to-extend-beaver-builder/,True,50,1705,26,17,Intermediate Level,2.0,2016-07-04T23:13:45Z,Web Development
955194,Coding Made Easy: A Beginners Guide To JavaScript,https://www.udemy.com/coding-made-easy-a-beginners-guide-to-javascript/,True,40,1950,33,16,Beginner Level,1.0,2016-09-18T21:58:41Z,Web Development
1200530,Electron for Desktop Apps: The Complete Developer's Guide,https://www.udemy.com/electron-react-tutorial/,True,50,2606,241,77,Beginner Level,8.0,2017-05-16T19:43:44Z,Web Development
1208638,"React JS, Angular & Vue JS - Quickstart & Comparison",https://www.udemy.com/angular-reactjs-vuejs-quickstart-comparison/,True,160,2273,288,142,Beginner Level,8.0,2017-05-09T20:37:25Z,Web Development
701634,ExpressJS Fundamentals,https://www.udemy.com/expressjs-fundamentals/,False,0,21245,914,9,Beginner Level,1.0,2016-01-11T18:53:48Z,Web Development
1107986,Building Data Visualizations with D3 and Angular 2,https://www.udemy.com/building-data-visualizations-with-d3-and-angular-2/,True,125,293,30,31,Beginner Level,3.5,2017-02-23T14:19:16Z,Web Development
777654,Learn what's new in PHP 7,https://www.udemy.com/php7-new-features/,False,0,12336,271,26,Intermediate Level,3.5,2016-04-04T22:32:13Z,Web Development
1161118,Dive Into Docker: The Docker Course for Developers,https://www.udemy.com/dive-into-docker-the-complete-docker-course-for-developers/,False,0,6437,313,22,Beginner Level,1.5,2017-04-14T22:57:32Z,Web Development
267286,"Basic Concepts of Web Development, HTTP and Java Servlets",https://www.udemy.com/web-application-and-java-servlet-concepts/,True,35,2797,59,10,Beginner Level,1.0,2014-08-27T11:31:44Z,Web Development
861624,ES6 Javascript: The Complete Developer's Guide,https://www.udemy.com/javascript-es6-tutorial/,True,80,13010,2709,68,Beginner Level,6.5,2016-07-12T15:29:32Z,Web Development
781532,Advanced React and Redux,https://www.udemy.com/react-redux-tutorial/,True,140,21998,3326,119,Intermediate Level,12.0,2016-03-12T22:13:46Z,Web Development
1145430,Angular Styling & Animations (for Angular 2 and Angular 4),https://www.udemy.com/angular-styling-animations-for-angular-2-and-angular-4/,True,120,4138,307,107,Intermediate Level,6.0,2017-03-28T00:01:39Z,Web Development
1109926,GraphQL with React: The Complete Developers Guide,https://www.udemy.com/graphql-with-react-course/,True,150,6412,987,114,Intermediate Level,13.0,2017-02-14T22:55:58Z,Web Development
